No,企業・サービス名,対象,分類,概要,概要・提供内容,情報ソース,優先度,備考・更新
I10,BMW Intelligent Owner’s Manual,間接,Digital Manual,,"BMW車両向けのインテリジェント電子取扱説明書
車載ディスプレイ・アプリからアクセス可能
車両状態・装備情報に応じて表示内容が変化
画像認識やカテゴリナビゲーションを採用
VINベースの内容最適化

静的マニュアルから一歩進んだUX
ただしAI対話・プロアクティブ提案は限定的",,,他OEM・Tier1
I11,Tesla In-Car Help,間接,Digital Manual,,"車載UIに統合されたヘルプ・説明機能
OTAアップデートに合わせた動的説明
リリースノート・機能説明・操作ガイドが統合
UI設計として「取説を読ませない」思想

従来型取説の概念を崩すUX
FAQではなく「体験に溶け込む説明」",,,
I12,Dyson,参考,家電,家電,"MyDysonアプリ
製品登録→使い方ガイド→メンテナンス通知
動画中心UX",,,
I13,Canon PRINT / Canon Online Manual,参考,映像機器,プリンタ,"アプリ連動
トラブルシュート導線がUI化
操作ガイドが動的",,,
I14,Shimano,参考,自転車,釣り具,"公式アプリ・製品情報連携
電動リールの設定ガイドなど
まだ初期段階だが将来性あり",,,
I15,TOTO / LIXIL Smart Product,参考,住宅・設備,風呂・トイレ,"スマホアプリ連携
メンテナンス・設定ガイド
IoT化が進んでいる",,,
P1,AWS - 自動車業界向け,潜在,Platform,,車両開発・パーソナライゼーションでの生成AI。クラウド+データ+AI。トヨタ・日産・BMW・VW等導入。取説特化は未明確。,aws.amazon.com/automotive,高,
P2,Microsoft - 自動車ソリューション,潜在,Platform,,SDV開発、AVOps、GitHub/Azure連携。生成AIによる開発支援。取説・車載コンテンツは拡張余地。,microsoft.com/ai/mobility/automotive,高,
P3,Google - Android Automotive / 車載,潜在,Platform,,Android Automotive OS。インフォテインメント基盤。取説アプリ・AI連携の可能性。,要追記,中,
P4,PTC - Arbortext,潜在,CCMS,,技術文書作成・管理。自動車マニュアルの制作基盤。UDトラックス等事例。OEMや受託側が利用し取説DXを実現するケース。,ptc.com / support.ptc.com (Arbortext),中,ツール提供。競合というよりエコシステム
P5,DENSO / デンソーテン,潜在,Platform,,車載機器・インフォテインメント。DST-クラウド等整備向け。取説・車載UIの内製・外販の可能性。,要追記,中,
P6,Apple CarPlay Next,潜在,Platform,,"iOS連携を車両全画面へ拡張する次世代CarPlay
メーター・空調・UI全体への統合
Siriベースの操作ガイド・音声UX
Appleエコシステムとの強力な連携

将来的に「使い方はSiriに聞く」世界観
OEM独自取説UXを奪う可能性あり",,,GCP、その他Tier1
P7,HERE Technologies,潜在,Platform,,"HDマップ・ナビ・位置データ・交通情報
車両コンテキストデータ（速度、環境、道路）
SDK/APIでIVIやADASに統合

「状況理解」の重要データソース
将来的に運転ガイドUXへ進化する可能性",,,
P8,Paligo,潜在,CCMS,家電・産業機械,,,,
P9,ThingWorx（PTC）,潜在,IoT・設計,工作機械 / 農機 / 建機,"IoTプラットフォーム
製品データ連携
AR・サービスと統合",,,
