ファイル名,セクションID,要素タイプ,テキスト内容,カテゴリ,サブカテゴリ,提供方法,優先度,新カテゴリ,新サブカテゴリ,新提供方法,新優先度
M52P95tojpjavhch01.xml,ch01se0104010503060107011207,attention_para,運転する前に フロアマットがすべての固定フック（クリップ）で正しい位置にしっかりと固定されていることを定期的に確認し、特に洗車後は必ず確認を行う,メンテナンス・点検,日常点検,体験OS化,中,④_メンテナンス・点検指示,定期メンテナンス,プロアクティブ通知,高
M52P95tojpjavhch01.xml,ch01se0104010503060107011208,attention_para,ハイブリッドシステム停止およびシフトポジションがPの状態で、各ペダルを奥まで踏み込み、フロアマットと干渉しないことを確認する,機能の使い方・操作方法,機能の説明,体験OS化,中,②_リスク・危険・注意,禁止事項,プロアクティブ通知,最高
M52P95tojpjavhch01.xml,ch01se010402,title,安全なドライブのために,参考情報,その他,RAGシステム,中,⑦_ライフスタイル・目的別利用,ライフスタイル関連,プロアクティブ通知,中
M52P95tojpjavhch01.xml,ch01se0104020501,paratabletxt,安全に運転するために、走行前にシートやミラーなどを適切に調整してください。,参考情報,その他,RAGシステム,中,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
M52P95tojpjavhch01.xml,ch01se0104020502,title,正しい運転姿勢について,参考情報,その他,RAGシステム,中,⑦_ライフスタイル・目的別利用,ライフスタイル関連,プロアクティブ通知,中
M52P95tojpjavhch01.xml,ch01se01040205020601,callouttxt,"ペダルがしっかりと踏み込め、ハンドルを握ったときにひじが少し曲がるようなシート位置にする（→ , ）",参考情報,その他,RAGシステム,中,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
M52P95tojpjavhch01.xml,ch01se01040205020601,callouttxt,分割式ヘッドレスト装着車： ヘッドレストの中央が耳のいちばん上のあたりになるようにする（→ ）,参考情報,その他,RAGシステム,中,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
M52P95tojpjavhch01.xml,ch01se01040205020601,callouttxt,"まっすぐ座り、運転操作時に体が背もたれから離れないよう、背もたれの角度を調整する（→ , ）",参考情報,その他,RAGシステム,高,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
M52P95tojpjavhch01.xml,ch01se01040205020601,callouttxt,シートベルトを正しく着用する（→ ）,参考情報,その他,RAGシステム,中,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
M52P95tojpjavhch01.xml,ch01se010402050206021101,attention_para,安全な運転のために 次のことを必ずお守りください。 お守りいただかないと、重大な傷害におよぶか、最悪の場合死亡につながるおそれがあります。,安全情報・警告,危険警告,体験OS化,高,②_リスク・危険・注意,危険警告,プロアクティブ通知,最高
M52P95tojpjavhch01.xml,ch01se010402050206021102,attention_para,走行中は運転席の調整をしないでください。 運転を誤るおそれがあります。,安全情報・警告,注意事項,体験OS化,中,②_リスク・危険・注意,注意事項,プロアクティブ通知,最高
M52P95tojpjavhch01.xml,ch01se010402050206021103,attention_para,背もたれと背のあいだにクッションなどを入れないでください。 正しい運転姿勢がとれないばかりか、衝突したとき、シートベルトやヘッドレストなどの効果が十分に発揮されないおそれがあります。,安全情報・警告,注意事項,体験OS化,中,②_リスク・危険・注意,注意事項,プロアクティブ通知,最高
M52P95tojpjavhch01.xml,ch01se010402050206021104,attention_para,フロントシートの下にものを置かないでください。 ものが挟まるとシートが固定されず、思わぬ事故や調整機構の故障の原因になります。,安全情報・警告,危険警告,体験OS化,中,②_リスク・危険・注意,危険警告,プロアクティブ通知,最高
M52P95tojpjavhch01.xml,ch01se010402050206021105,attention_para,公道を走行するときは、法定速度や制限速度を遵守してください。,参考情報,その他,RAGシステム,中,⑦_ライフスタイル・目的別利用,ライフスタイル関連,プロアクティブ通知,中
M52P95tojpjavhch01.xml,ch01se010402050206021106,attention_para,他の車や歩行者など、周囲の状況に常に注意を払い、安全運転を心がけてください。,安全情報・警告,注意事項,体験OS化,高,②_リスク・危険・注意,注意事項,プロアクティブ通知,最高
M52P95tojpjavhch01.xml,ch01se010402050206021107,attention_para,飲酒運転は絶対にしないでください。お酒を飲むと注意力と判断力がにぶり、思いがけない事故を引き起こすおそれがあります。また、眠気をもよおす薬を飲んだときも運転を控えてください。,安全情報・警告,危険警告,体験OS化,高,②_リスク・危険・注意,危険警告,プロアクティブ通知,最高
M52P95tojpjavhch01.xml,ch01se010402050206021108,attention_para,運転中に携帯電話を使用したり、装置の調節などをしないでください。周囲の状況などへの注意が不十分になり、大変危険です。ハンズフリー以外の自動車電話や携帯電話を運転中に使用することは法律で禁止されています。,安全情報・警告,危険警告,体験OS化,高,②_リスク・危険・注意,危険警告,プロアクティブ通知,最高
M52P95tojpjavhch01.xml,ch01se010402050206021109,attention_para,長距離ドライブの際は、疲れを感じる前に定期的に休憩してください。 また、運転中に疲労感や眠気を感じたときは、無理に運転せず、すみやかに休憩してください。,参考情報,その他,RAGシステム,中,④_メンテナンス・点検指示,定期メンテナンス,プロアクティブ通知,高
M52P95tojpjavhch01.xml,ch01se0104020503,title,シートベルトを正しく着用する,参考情報,その他,RAGシステム,中,⑦_ライフスタイル・目的別利用,ライフスタイル関連,プロアクティブ通知,中
M52P95tojpjavhch01.xml,ch01se01040205030601,p,シートベルトを正しく着用できない小さなお子さまを乗せるときは、適切な子供専用シートをご用意ください。（→ ）,参考情報,その他,RAGシステム,中,⑦_ライフスタイル・目的別利用,ライフスタイル関連,プロアクティブ通知,中
M52P95tojpjavhch01.xml,ch01se01040205030601,p,すべての乗員は、走行前に必ずシートベルトを正しく着用してください。（→ ）,参考情報,その他,RAGシステム,中,⑦_ライフスタイル・目的別利用,ライフスタイル関連,プロアクティブ通知,中
M52P95tojpjavhch01.xml,ch01se0104020504,title,ミラーを調整する,参考情報,その他,RAGシステム,中,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
M52P95tojpjavhch01.xml,ch01se01040205040601,p,"後方が確実に確認できるように、インナーミラー・ドアミラーを正しく調整してください。（→ , ）",参考情報,その他,RAGシステム,中,④_メンテナンス・点検指示,日常点検,プロアクティブ通知,高
M52P95tojpjavhch01.xml,ch01se010403,title,シートベルト,参考情報,その他,RAGシステム,中,⑦_ライフスタイル・目的別利用,ライフスタイル関連,プロアクティブ通知,中
M52P95tojpjavhch01.xml,ch01se0104030501,paratabletxt,走行前にすべての乗員は必ずシートベルトを正しく着用してください。,参考情報,その他,RAGシステム,中,⑦_ライフスタイル・目的別利用,ライフスタイル関連,プロアクティブ通知,中
M52P95tojpjavhch01.xml,ch01se01040305021001,attention_para,急ブレーキや事故の際のけがを避けるため、次のことを必ずお守りください。お守りいただかないと、重大な傷害におよぶか、最悪の場合死亡につながるおそれがあります。,安全情報・警告,危険警告,体験OS化,高,②_リスク・危険・注意,危険警告,プロアクティブ通知,最高
M52P95tojpjavhch01.xml,ch01se01040305021002,attention_para,シートベルトの着用について 全員がシートベルトを着用する,参考情報,その他,RAGシステム,中,⑦_ライフスタイル・目的別利用,ライフスタイル関連,プロアクティブ通知,中
M52P95tojpjavhch01.xml,ch01se01040305021004,attention_para,シートベルトは一組につき一人で使用する お子さまでも一組のベルトを複数の人で使用しない,安全情報・警告,禁止事項,体験OS化,中,②_リスク・危険・注意,禁止事項,プロアクティブ通知,最高
M52P95tojpjavhch01.xml,ch01se01040305021005,attention_para,お子さまはリヤ席に座らせてシートベルトを着用させる,参考情報,その他,RAGシステム,中,⑦_ライフスタイル・目的別利用,ライフスタイル関連,プロアクティブ通知,中
M52P95tojpjavhch01.xml,ch01se01040305021006,attention_para,背もたれは必要以上に倒さず、上体を起こし、シートに深く座る,参考情報,その他,RAGシステム,中,⑦_ライフスタイル・目的別利用,ライフスタイル関連,プロアクティブ通知,中
M52P95tojpjavhch01.xml,ch01se01040305021007,attention_para,肩部ベルトを腕の下に通して着用しない,参考情報,その他,RAGシステム,中,②_リスク・危険・注意,禁止事項,プロアクティブ通知,最高
M52P95tojpjavhch01.xml,ch01se01040305021008,attention_para,腰部ベルトはできるだけ低い位置に密着させ着用する,参考情報,その他,RAGシステム,中,⑦_ライフスタイル・目的別利用,ライフスタイル関連,プロアクティブ通知,中
M52P95tojpjavhch01.xml,ch01se01040305021009,attention_para,リヤ中央席のシートベルトを使用するときは、図の 部が結合されていることを確認する 結合されていない場合は結合してから使用する,参考情報,その他,RAGシステム,中,④_メンテナンス・点検指示,日常点検,プロアクティブ通知,高
M52P95tojpjavhch01.xml,ch01se01040305021010,attention_para,妊娠中の女性の場合 医師に注意事項を確認の上、必ず正しく着用してください。（→ ） 通常の着用のしかたと同じように、腰部ベルトが腰骨のできるだけ低い位置にかかるようにお腹のふくらみの下に、肩部ベルトは確実に肩を通し、お腹のふくらみを避けて胸部にかかるように着用してください。 ベルトを正しく着用していないと、衝突したときなどに、母体だけでなく胎児までが重大な傷害を受けたり、最悪の場合死亡につながるおそれがあります。,安全情報・警告,危険警告,体験OS化,高,②_リスク・危険・注意,危険警告,プロアクティブ通知,最高
M52P95tojpjavhch01.xml,ch01se01040305021011,attention_para,疾患のある方の場合 医師に注意事項を確認の上、必ず正しく着用してください。,安全情報・警告,注意事項,体験OS化,高,②_リスク・危険・注意,注意事項,プロアクティブ通知,最高
M52P95tojpjavhch01.xml,ch01se01040305021012,attention_para,お子さまを乗せるとき →,参考情報,その他,RAGシステム,中,⑦_ライフスタイル・目的別利用,ライフスタイル関連,プロアクティブ通知,中
M52P95tojpjavhch01.xml,ch01se01040305021013,attention_para,シートベルトの損傷・故障について ベルトやプレート・バックルなどは、シートやドアに挟むなどして損傷しないようにしてください。,安全情報・警告,注意事項,体験OS化,中,②_リスク・危険・注意,注意事項,プロアクティブ通知,最高
M52P95tojpjavhch01.xml,ch01se01040305021014,attention_para,シートベルトが損傷したときはシートベルトを修理するまでシートは使用しないでください。,安全情報・警告,注意事項,体験OS化,中,②_リスク・危険・注意,注意事項,プロアクティブ通知,最高
M52P95tojpjavhch01.xml,ch01se01040305021015,attention_para,プレートがバックルに確実に挿し込まれているか、シートベルトがねじれていないかを確認してください。うまく挿し込めない場合はただちにトヨタ販売店に連絡してください。,参考情報,その他,RAGシステム,中,④_メンテナンス・点検指示,日常点検,プロアクティブ通知,高
M52P95tojpjavhch01.xml,ch01se01040305021016,attention_para,もし重大な事故にあったときは、明らかな損傷が見られない場合でも、シート・シートベルトを交換してください。,メンテナンス・点検,定期メンテナンス,体験OS化,高,②_リスク・危険・注意,危険警告,プロアクティブ通知,最高
M52P95tojpjavhch01.xml,ch01se01040305021017,attention_para,プリテンショナー付きシートベルトの取り付けや取りはずし・分解・廃棄などは、トヨタ販売店以外でしないでください。 不適切に扱うと、正常に作動しなくなるおそれがあります。,安全情報・警告,注意事項,体験OS化,中,②_リスク・危険・注意,注意事項,プロアクティブ通知,最高
M52P95tojpjavhch01.xml,ch01se0104030503,title,正しく着用する,参考情報,その他,RAGシステム,中,⑦_ライフスタイル・目的別利用,ライフスタイル関連,プロアクティブ通知,中
M52P95tojpjavhch01.xml,ch01se01040305030601,itemtxt,腰部ベルトを必ず腰骨のできるだけ低い位置に密着させる,参考情報,その他,RAGシステム,中,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
M52P95tojpjavhch01.xml,ch01se01040305030601,itemtxt,背もたれを調整し、上体を起こし、深く腰かけて座る,参考情報,その他,RAGシステム,中,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
M52P95tojpjavhch01.xml,ch01se01040305030601,itemtxt,肩部ベルトを肩に十分かける,参考情報,その他,RAGシステム,中,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
M52P95tojpjavhch01.xml,ch01se01040305030601,itemtxt,ねじれがないようにする,参考情報,その他,RAGシステム,中,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
M52P95tojpjavhch01.xml,ch01se01040305030601,itemtxt_sub,首にかかったり、肩からはずれないようにしてください。,参考情報,その他,RAGシステム,中,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
M52P95tojpjavhch01.xml,ch01se010403050306020801,note_para,お子さまのシートベルトの使い方 この車のシートベルトは、シートベルトを装着するのに十分な、大人の体格を持った人用に設計されています。 シートベルトが正しい位置で着用できない小さなお子さまの場合は、お子さまの体に合った子供専用シートを使用してください。（→ ） シートベルトが正しい位置で着用できるお子さまの場合は、シートベルトの着用のしかたに従ってください。,機能の使い方・操作方法,基本操作,体験OS化,中,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
M52P95tojpjavhch01.xml,ch01se0104030504,title,着け方・はずし方,参考情報,その他,RAGシステム,中,⑦_ライフスタイル・目的別利用,ライフスタイル関連,プロアクティブ通知,中
M52P95tojpjavhch01.xml,ch01se01040305040601,callouttxt,ベルトを固定するには、“カチッ”と音がするまでプレートをバックルに挿し込む,参考情報,その他,RAGシステム,中,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
M52P95tojpjavhch01.xml,ch01se01040305040601,callouttxt,ベルトを解除するには、解除ボタン を押す,参考情報,その他,RAGシステム,中,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
M52P95tojpjavhch01.xml,ch01se010403050406020801,note_para,シートベルトロックの解除方法 急停止や衝撃があったときベルトがロックされます。急に体を前に倒したり、シートベルトをすばやく引き出してもロックする場合があります。一度ベルトを強く引いてからゆるめ、ゆっくり動かせば、ベルトを引き出すことができます。,参考情報,その他,RAGシステム,中,⑦_ライフスタイル・目的別利用,ライフスタイル関連,プロアクティブ通知,中
M52P95tojpjavhch01.xml,ch01se010403050406020802,note_para,リヤ中央席シートベルトを使用したあとは バックルを格納してください。,参考情報,その他,RAGシステム,中,①_コンテキスト依存操作,基本操作,プロアクティブ通知,高
M52P95tojpjavhch01.xml,ch01se0104030505,title,シートベルトプリテンショナー（フロント席・リヤ外側席）,参考情報,その他,RAGシステム,中,⑦_ライフスタイル・目的別利用,ライフスタイル関連,プロアクティブ通知,中
M52P95tojpjavhch01.xml,ch01se01040305050601,p,前方・側方から強い衝撃を受けたとき、シートベルトを引き込むことで適切な乗員拘束効果を確保します。,参考情報,その他,RAGシステム,中,⑦_ライフスタイル・目的別利用,ライフスタイル関連,プロアクティブ通知,中
M52P95tojpjavhch01.xml,ch01se010403050506020801,note_para,シートベルトプリテンショナーについて シートベルトプリテンショナーは一度しか作動しません。玉突き衝突などで連続して衝撃を受けた場合でも、一度作動したあとは、その後の衝突では作動しません。,参考情報,その他,RAGシステム,中,⑦_ライフスタイル・目的別利用,ライフスタイル関連,プロアクティブ通知,中
M52P95tojpjavhch01.xml,ch01se010403050506020802,note_para,予防連携機能について（Toyota Safety Sense 装着車） プリクラッシュセーフティによって車両との衝突の可能性が高いと判断されたとき、シートベルトプリテンショナーの作動準備を整えます。,機能の使い方・操作方法,機能の説明,体験OS化,中,①_コンテキスト依存操作,高度な操作,プロアクティブ通知,高
M52P95tojpjavhch01.xml,ch01se010403050506031101,attention_para,プリテンショナー付きシートベルトについて シートベルトプリテンショナーが作動すると、SRSエアバッグ／プリテンショナー警告灯が点灯します。その場合は、シートベルトを再使用することができないため、必ずトヨタ販売店で交換してください。お守りいただかないと、重大な傷害におよぶか、最悪の場合死亡につながるおそれがあります。,機能の使い方・操作方法,基本操作,体験OS化,高,②_リスク・危険・注意,危険警告,プロアクティブ通知,最高
M52P95tojpjavhch01.xml,ch01se010404,title,SRSエアバッグ,参考情報,その他,RAGシステム,中,⑦_ライフスタイル・目的別利用,ライフスタイル関連,プロアクティブ通知,中
M52P95tojpjavhch01.xml,ch01se0104040501,paratabletxt,SRSエアバッグは乗員に重大な危害がおよぶような強い衝撃を受けたときにふくらみ、シートベルトが体を拘束する働きと併せて乗員への衝撃を緩和させます。,参考情報,その他,RAGシステム,高,⑦_ライフスタイル・目的別利用,ライフスタイル関連,プロアクティブ通知,中
M52P95tojpjavhch01.xml,ch01se0104040502,title,SRSエアバッグシステム,機能の使い方・操作方法,機能の説明,体験OS化,中,①_コンテキスト依存操作,高度な操作,プロアクティブ通知,高
M52P95tojpjavhch01.xml,ch01se01040405020601,callouttxt,運転席SRSエアバッグ／助手席SRSエアバッグ,参考情報,その他,RAGシステム,中,⑦_ライフスタイル・目的別利用,ライフスタイル関連,プロアクティブ通知,中
M52P95tojpjavhch01.xml,ch01se01040405020601,callouttxt,SRSカーテンシールドエアバッグ,参考情報,その他,RAGシステム,中,⑦_ライフスタイル・目的別利用,ライフスタイル関連,プロアクティブ通知,中
M52P95tojpjavhch01.xml,ch01se01040405020601,callouttxt,SRSフロントサイドエアバッグ,参考情報,その他,RAGシステム,中,⑦_ライフスタイル・目的別利用,ライフスタイル関連,プロアクティブ通知,中
M52P95tojpjavhch01.xml,ch01se01040405020601,title,SRSサイド＆カーテンシールドエアバッグ,参考情報,その他,RAGシステム,中,⑦_ライフスタイル・目的別利用,ライフスタイル関連,プロアクティブ通知,中
M52P95tojpjavhch01.xml,ch01se01040405020601,title,フロントSRSエアバッグ,参考情報,その他,RAGシステム,中,⑦_ライフスタイル・目的別利用,ライフスタイル関連,プロアクティブ通知,中
M52P95tojpjavhch01.xml,ch01se01040405020601,title,SRSエアバッグの配置,参考情報,その他,RAGシステム,中,⑦_ライフスタイル・目的別利用,ライフスタイル関連,プロアクティブ通知,中
M52P95tojpjavhch01.xml,ch01se01040405020601,callouttxt_sub,フロント席とリヤ外側席乗員の主に頭部への衝撃を緩和します,参考情報,その他,RAGシステム,中,⑦_ライフスタイル・目的別利用,ライフスタイル関連,プロアクティブ通知,中
M52P95tojpjavhch01.xml,ch01se01040405020601,callouttxt_sub,運転者と助手席乗員の頭や胸などへの衝撃を緩和します,参考情報,その他,RAGシステム,中,⑦_ライフスタイル・目的別利用,ライフスタイル関連,プロアクティブ通知,中
M52P95tojpjavhch01.xml,ch01se01040405020601,callouttxt_sub,フロント席乗員の胸などへの衝撃を緩和します,参考情報,その他,RAGシステム,中,⑦_ライフスタイル・目的別利用,ライフスタイル関連,プロアクティブ通知,中
M52P95tojpjavhch01.xml,ch01se010404050206020801,note_para,SRSエアバッグが作動すると SRSエアバッグは高温のガスにより非常に速い速度でふくらむため、すり傷・やけど・打撲などを受けることがあります。 作動音と共に白いガスが発生します。 フロント席・フロントピラー・センターピラー・リヤピラー・ルーフサイドレールの一部分などだけでなく、エアバッグ構成部品（ハンドルのハブ、エアバッグカバー、インフレーター）も数分間熱くなることがあります。エアバッグそのものも熱くなります。 フロントウインドウガラスが破損することがあります。 ハイブリッドシステムと燃料供給を停止します。（→ ） 自動的にブレーキと制動灯を制御します。（→ ） 室内灯が自動で点灯します。（→ ） 非常点滅灯が自動で点滅します。（→ ） T-Connectの契約期間内は、次の場合、自動的に緊急通報がヘルプネットセンターに送信されます。オペレーターからの呼びかけに応答がない場合は、緊急車両を手配します。 詳しくは「マルチメディア取扱説明書」を参照してください。 SRSエアバッグが作動した シートベルトプリテンショナーが作動した 後方から強い衝撃を受けた,法規制・法的責任関連,法的説明,デジタル記録,中,②_リスク・危険・注意,危険警告,プロアクティブ通知,最高
M52P95tojpjavhch01.xml,ch01se010404050206020802,note_para,SRSエアバッグが作動するとき（フロントSRSエアバッグ） フロントSRSエアバッグは、衝撃の強さが設定値（移動も変形もしない固定された壁に、車速約20～30km/hで正面衝突した場合の衝撃の強さに相当する値）以上の場合に作動します。 ただし、次のような場合はエアバッグが作動する車速は設定値より高くなります。 駐車している車や標識のような衝撃によって移動や変形するものに衝突した場合 もぐり込むような衝突の場合（例えば、車両前部がもぐり込む、下に入り込む、トラックの下敷きになるなど） 衝突条件によってはシートベルトプリテンショナーのみ作動する場合があります。,機能の使い方・操作方法,基本操作,体験OS化,中,②_リスク・危険・注意,禁止事項,プロアクティブ通知,最高
M52P95tojpjavhch01.xml,ch01se010404050206020803,note_para,SRSエアバッグが作動するとき（SRSサイド＆カーテンシールドエアバッグ） SRSサイド＆カーテンシールドエアバッグは、衝撃の強さが設定値（約1.5ｔの車両が約20～30km/hの速度で客室へ直角に衝突した場合の衝撃の強さに相当する値）以上の場合に作動します。 前面衝突時でも、特に衝撃が大きい場合は左右のSRSカーテンシールドエアバッグが作動する場合があります。,機能の使い方・操作方法,基本操作,体験OS化,中,⑤_スペック・仕様・固有値,容量・数量,デジタル記録,中
M52P95tojpjavhch01.xml,ch01se010404050206020804,note_para,衝突以外で作動するとき 次のような状況で車両下部に強い衝撃を受けたときも、フロントSRSエアバッグとSRSサイド＆カーテンシールドエアバッグが作動する場合があります。 縁石や歩道の端など、固いものにぶつかったとき 深い穴や溝に落ちたり、乗りこえたとき ジャンプして地面にぶつかったり、道路から落下したとき,参考情報,その他,RAGシステム,中,⑦_ライフスタイル・目的別利用,ライフスタイル関連,プロアクティブ通知,中
