優先度,No,カテゴリ,質問項目,仮説,確認意図,想定される回答パターン,対応方針
重要,Q8,外部連携事例,LexusLinkと外部サービスの統合事例は？,音楽・ナビ等で連携事例あり,統合パターンの学習。成功・失敗のポイント把握。,Spotify・Apple Music等の音楽サービス / Google Maps等のナビ / 決済サービス / 外部連携はまだない,連携パターンを弊社に応用
重要,Q8-1,外部連携事例,連携の技術方式は？審査期間は？,API連携が主流、審査に3-6ヶ月,実現可能性とスケジュールへの影響確認。,API連携（RESTful） / SDK提供 / 審査期間は3-6ヶ月 / セキュリティ審査が厳格,スケジュールに審査期間を織り込む
補足,Q9,既存の取り組み,LexusLinkの機能と利用状況は？,リモート操作・車両状態確認・メンテナンス通知等。登録率60-70%。,重複回避と統合可能性の確認。,登録率XX%・アクティブ率XX% / よく使われる機能：リモートエアコン・車両状態確認 / 改善要望：もっと便利な機能がほしい,LexusLink統合の可能性を検討
補足,Q9-1,既存の取り組み,デジタル化の進捗は？社内検討状況は？,デジタル化は進めているが、AI活用はこれから,社内の機運確認。推進力の有無。,A: 積極的に推進中 / B: 検討中だが未着手 / C: 優先度は高くない,A→背中を押す / B→具体案提示 / C→価値の再確認
補足,Q10,意思決定,承認フロー・キーパーソンは？,部長→役員→経営会議。技術部門・法務部門との調整も必要。,次のステップの見通し確認。,部長決裁（XX万円まで） / 役員決裁（XX万円以上） / 関係部門：技術・法務・カスタマーサポート,ステークホルダーマップ作成
補足,Q10-1,意思決定,PoC実施の可能性は？タイムラインは？,PoC実施に前向き。2025年度中に開始したい。,具体的な進行スケジュール確認。,A: すぐにでも始めたい（Q1-Q2） / B: 年度内に検討（Q3-Q4） / C: 来年度以降,A→急ぎ準備 / B→標準スケジュール / C→関係構築重視
補足,Q11,懸念点,技術的な不安は？,セキュリティ・パフォーマンス・既存システムとの統合,障壁の事前把握と対策準備。,セキュリティが心配 / 既存システムとの統合 / パフォーマンス（速度） / 開発期間・リソース,各懸念に対する対策を提示
補足,Q11-1,懸念点,コスト・ROIへの懸念は？,投資対効果が見えるか不安,ROI試算の重要性確認。,効果が本当に出るか / 投資回収できるか / 他社事例はあるか,具体的なROI試算を次回提示
補足,Q11-2,懸念点,社内調整の障壁は？,複数部門の調整が必要で時間がかかる,推進上の障壁把握。,部門間の調整が必要 / 既存ベンダーとの関係 / 社内リソース不足,弊社でサポートできることを提案
補足,Q12,その他,レクサスオーナーの特性は？,富裕層・経営者・専門職。40-60代が中心。品質とサービスにこだわる。,ターゲットユーザー理解。UX設計への反映。,平均年齢XX歳 / 職業：経営者XX%・専門職XX% / 年収：XX万円以上 / ITリテラシー：中から高,ペルソナ設定とUX設計
補足,Q12-1,その他,競合他社の動向は？,他OEMもデジタル化を進めている,市場環境の理解。差別化ポイントの確認。,BMW・Mercedes等は先行 / トヨタグループとしては？ / レクサス独自の差別化は？,競合分析と差別化戦略


