チェック項目カテゴリ,チェック項目,最詳細レベル（初心者）,詳細レベル（一般）,標準レベル（経験者）,簡潔レベル（熟練者）,所要時間（分）,重要度
緊急時対応,バッテリー上がり時,バッテリーが上がった時の対応方法と、ロードサービスの連絡先をご案内します。,バッテリー上がり時の対応説明。,バッテリー対応説明,バッテリーOK,3,高
緊急時対応,事故時の対応,事故が起きた時の対応手順と、保険会社・ロードサービスへの連絡方法をご説明します。,事故時の対応手順を説明します。,事故対応説明,事故OK,4,高
緊急時対応,警告灯の意味,メーター内の主な警告灯の意味と、点灯した時の対応をご説明します。,主な警告灯の意味を説明します。,警告灯説明,警告灯OK,4,高
緊急時対応,ロードサービス連絡先,ロードサービスの連絡先と、24時間対応のサポート体制をご案内します。,ロードサービス連絡先を案内します。,連絡先案内,連絡先OK,2,高
書類・その他,取扱説明書の場所,取扱説明書とメンテナンスノートの保管場所をご説明します。困った時はまずこちらをご覧ください。,取扱説明書の場所を案内します。,説明書確認,説明書OK,1,中
書類・その他,保証書の説明,保証書の内容と、保証期間、保証の対象についてご説明します。,保証書の内容を説明します。,保証説明,保証OK,3,中
書類・その他,車検証の確認,車検証の内容を確認し、車検の有効期限をご案内します。車検証は常に車内に保管してください。,車検証を確認します。,車検証確認,車検証OK,2,高
書類・その他,任意保険の確認,任意保険の加入状況を確認し、車両入替の手続きが完了しているか確認します。,保険の確認をします。,保険確認,保険OK,2,高
書類・その他,次回点検予約,初回1ヶ月無料点検の予約をお取りします。点検内容についてもご説明します。,1ヶ月点検の予約を取ります。,点検予約,予約OK,3,中
アフターフォロー,担当者連絡先,困った時の担当者連絡先をお渡しします。些細なことでもお気軽にご連絡ください。,担当者連絡先をお渡しします。,連絡先渡す,連絡先OK,1,高
アフターフォロー,1週間後フォロー,1週間後にお電話でご様子を伺います。気になることがあればその時にお聞かせください。,1週間後にフォロー電話します。,フォロー予告,フォローOK,1,中
アフターフォロー,オーナーズサイト登録,オーナーズサイトへの登録方法と、サイトで利用できるサービスをご案内します。,オーナーズサイト登録を案内。,サイト登録,登録OK,3,低
アフターフォロー,SNSコミュニティ案内,同じ車種のオーナーが集まるSNSコミュニティをご案内します。情報交換にご活用ください。,SNSコミュニティを案内。,SNS案内,SNS OK,2,低
