予測ID,顧客ステージID,直近の対応履歴タイプ,経過日数,顧客満足度,問い合わせ回数,予測スコア,予測される次のアクション,アクション実施タイミング,アクション実施方法,予測される顧客ニーズ,リスク・機会,推奨メッセージ,備考
PRED_020,STAGE_007,HIST_TYPE_010,1460,普通,0,1.7,下取り査定案内,納車後4年,電話・DM,下取り価格の確認,機会：買い替え促進,「お車の下取り査定を無料で承っております。現在の価値を確認してみませんか？」,下取り価格提示で買い替え促進
PRED_021,STAGE_008,HIST_TYPE_001,3,高,0,1.8,前回購入時の感謝,初回来店後3日,電話,前回の満足度確認、今回のニーズ把握,機会：リピート購入,「前回もご購入いただきありがとうございました。今回はどのようなお車をお探しでしょうか？」,リピート顧客への特別対応
PRED_022,STAGE_009,HIST_TYPE_020,180,不明,0,1.6,休眠顧客掘り起こし,6ヶ月未接触時,電話・DM,現状確認、ニーズ把握,リスク：離反の可能性,「ご無沙汰しております。お車の調子はいかがでしょうか？何かお困りのことがあればお気軽にご連絡ください。」,関係性回復
PRED_023,STAGE_009,HIST_TYPE_020,365,不明,0,1.5,特別キャンペーン案内,1年未接触時,DM,来店促進,リスク：離反,「お客様限定の特別キャンペーンをご案内いたします。この機会にぜひお立ち寄りください。」,特別感で来店促進
PRED_024,STAGE_010,HIST_TYPE_013,3,非常に低,1,2.5,クレーム対応フォロー,クレーム対応後3日,電話・訪問,満足度回復、信頼回復,リスク：離反・悪評,「先日は大変ご迷惑をおかけいたしました。その後、ご満足いただける対応ができましたでしょうか？」,最優先で対応
PRED_025,STAGE_010,HIST_TYPE_013,7,低,2,2.3,上席者フォロー,クレーム対応後1週間,訪問,誠意ある対応、関係修復,リスク：離反・悪評,「この度は大変申し訳ございませんでした。責任者の私から改めてお詫び申し上げます。」,上席者による誠意ある対応
PRED_026,STAGE_004,HIST_TYPE_006,30,高,0,1.6,満足度アンケート,納車後1ヶ月,メール,満足度把握、改善点確認,機会：満足度向上,「納車後1ヶ月が経ちました。簡単なアンケートにご協力いただけますでしょうか？」,顧客の声を収集
PRED_027,STAGE_005,HIST_TYPE_008,365,高,0,1.5,1年後満足度調査,納車後1年,電話・メール,長期満足度確認、買い替え意向,機会：関係性維持,「ご購入から1年が経ちました。お車にご満足いただけていますでしょうか？」,長期満足度把握
PRED_028,STAGE_006,HIST_TYPE_016,30,高,0,1.2,イベント参加御礼,イベント参加後1週間,メール,感謝の意、次回案内,機会：エンゲージメント向上,「先日はイベントにご参加いただきありがとうございました。次回もぜひお越しください。」,関係性維持
PRED_029,STAGE_005,HIST_TYPE_018,7,普通,0,1.0,メール開封後フォロー,メール開封後1週間,メール,関心事項の深掘り,機会：ニーズ把握,「先日お送りした情報はいかがでしたか？詳しい内容をお知りになりたい場合は、お気軽にお問い合わせください。」,関心度に応じたフォロー
PRED_030,STAGE_006,HIST_TYPE_019,30,普通,0,1.1,再エンゲージメント,メール未開封が続く,電話・DM,関心度確認、情報提供方法変更,リスク：関心度低下,「最近、メールをお読みいただけていないようですが、お車の調子はいかがでしょうか？ご連絡方法を変更いたしましょうか？」,コミュニケーション方法の見直し
